						Variance of Signal	Variance of Error	Share due to Signal	Share due to Error
1	44	1	0	0.57431988	0.06871904	0.57431988	0.21458332	0.727997909	0.272002091
1	45	0.81414899	0	0.57431988	0.06871904	0.380681373	0.22877141	0.624628164	0.375371836
1	46	0.79206055	0	0.57431988	0.06871904	0.360305271	0.26549829	0.575748196	0.424251804
1	47	0.75166107	0	0.57431988	0.06871904	0.324487495	0.37986013	0.460692254	0.539307746
1	48	0.67052727	0	0.57431988	0.06871904	0.258218135	0.47294052	0.353162933	0.646837067
1	49	0.96907254	0	0.57431988	0.06871904	0.539344711	0.27527607	0.662080717	0.337919283
1	50	0	1	0.57431988	0.06871904	0.06871904	0.17893554	0.277479383	0.722520617
1	51	0	1.16792133	0.57431988	0.06871904	0.093735535	0.17479462	0.349068935	0.650931065
1	52	0	1.45057467	0.57431988	0.06871904	0.144596328	0.18082291	0.444338597	0.555661403
1	54	0	1.44689449	0.57431988	0.06871904	0.143863562	0.24010722	0.374673201	0.625326799
1	55	0	1.38667885	0.57431988	0.06871904	0.132138346	0.19301204	0.406391479	0.593608521
1	56	0	1.74313343	0.57431988	0.06871904	0.208803776	0.40374768	0.340875487	0.659124513
1	57	0	1.58185629	0.57431988	0.06871904	0.171953546	0.41494357	0.292987546	0.707012454
1	58	0	1.8726427	0.57431988	0.06871904	0.240983289	0.40139657	0.375141415	0.624858585
1	59	0	0.9573478	0.57431988	0.06871904	0.062982018	1.26490702	0.047430181	0.952569819
1	60	0	1.11170758	0.57431988	0.06871904	0.084929432	1.23345455	0.064419344	0.935580656
1	61	0	0.75087964	0.57431988	0.06871904	0.038745185	0.90662992	0.040983928	0.959016072
1	62	0	0.61925554	0.57431988	0.06871904	0.0263522	1.2750963	0.020248362	0.979751638
